sales_person,country,product,date,amount,boxes_shipped
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141
Kaine Padly,India,70% Dark Bites,2022-01-24,12173.0,301
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752.0,424
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169
Wilone O'Kielt,Australia,Baker'S Choco Chips,2022-01-25,2961.0,154
Beverie Moffet,Australia,Smooth Sliky Salty,2022-01-25,10507.0,467
Camilla Castle,New Zealand,Spicy Special Slims,2022-01-25,11564.0,24
Oby Sorrel,Uk,99% Dark & Pure,2022-01-25,13685.0,176
Kelci Walkden,Uk,Eclairs,2022-01-25,4606.0,57
Karlen Mccaffrey,Uk,Eclairs,2022-01-25,7798.0,196
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627.0,136
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781.0,38
Karlen Mccaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85
Rafaelita Blaksland,Australia,Organic Choco Syrup,2022-01-26,994.0,105
Karlen Mccaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356
Madelene Upcott,Uk,99% Dark & Pure,2022-01-26,10479.0,45
Curtice Advani,New Zealand,Mint Chip Choco,2022-01-26,3220.0,265
Marney O'Breen,Usa,Baker'S Choco Chips,2022-01-26,8470.0,9
Dotty Strutley,Australia,Eclairs,2022-01-26,6979.0,3
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497.0,475
Marney O'Breen,Usa,Orange Choco,2022-01-27,7595.0,181
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428.0,216
Kaine Padly,Uk,Drinking Coco,2022-01-27,2317.0,224
Ches Bonnell,India,Peanut Butter Cubes,2022-01-27,22050.0,208
Karlen Mccaffrey,Usa,Milk Bars,2022-01-27,4389.0,7
Brien Boise,Uk,Drinking Coco,2022-01-27,5754.0,133
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85
Kelci Walkden,Usa,Almond Choco,2022-01-27,5180.0,233
Barr Faughny,Uk,50% Dark Bites,2022-01-28,581.0,65
Roddy Speechley,Uk,Raspberry Choco,2022-01-28,12635.0,194
Brien Boise,India,Spicy Special Slims,2022-01-28,1302.0,33
Barr Faughny,Usa,Fruit & Nut Bars,2022-01-28,9058.0,46
Barr Faughny,India,Drinking Coco,2022-01-28,2219.0,142
Mallorie Waber,Usa,Almond Choco,2022-01-28,6986.0,368
Gigi Bohling,Canada,Baker'S Choco Chips,2022-01-28,1505.0,47
Brien Boise,Usa,Orange Choco,2022-01-28,6020.0,147
Madelene Upcott,New Zealand,Peanut Butter Cubes,2022-01-28,5152.0,333
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491.0,75
Husein Augar,Australia,Fruit & Nut Bars,2022-01-28,7959.0,53
Brien Boise,Canada,Mint Chip Choco,2022-01-28,5033.0,178
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18
Van Tuxwell,Uk,99% Dark & Pure,2022-01-31,4725.0,137
Mallorie Waber,New Zealand,Mint Chip Choco,2022-01-31,1316.0,107
Andria Kimpton,India,50% Dark Bites,2022-01-31,13482.0,15
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2022-01-31,2016.0,277
Husein Augar,Canada,70% Dark Bites,2022-01-31,5131.0,285
Karlen Mccaffrey,New Zealand,Caramel Stuffed Bars,2022-01-31,5334.0,227
Curtice Advani,Canada,70% Dark Bites,2022-01-31,2303.0,7
Madelene Upcott,New Zealand,Caramel Stuffed Bars,2022-02-01,3374.0,151
Mallorie Waber,New Zealand,Orange Choco,2022-02-01,6510.0,23
Gigi Bohling,Canada,Almond Choco,2022-02-01,9989.0,49
Kelci Walkden,India,Smooth Sliky Salty,2022-02-01,2464.0,8
Curtice Advani,Uk,White Choc,2022-02-01,1540.0,73
Karlen Mccaffrey,Usa,Manuka Honey Choco,2022-02-01,10171.0,67
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417
Kelci Walkden,Usa,Orange Choco,2022-02-03,1379.0,138
Jehu Rudeforth,Uk,Drinking Coco,2022-02-03,7140.0,438
Barr Faughny,Usa,Almond Choco,2022-02-03,385.0,78
Barr Faughny,Canada,Baker'S Choco Chips,2022-02-03,10969.0,170
Curtice Advani,Uk,Manuka Honey Choco,2022-02-07,1666.0,106
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101.0,108
Rafaelita Blaksland,New Zealand,Eclairs,2022-02-07,19481.0,51
Dennison Crosswaite,Uk,Peanut Butter Cubes,2022-02-07,8925.0,158
Karlen Mccaffrey,Uk,Baker'S Choco Chips,2022-02-07,4753.0,389
Curtice Advani,Usa,Drinking Coco,2022-02-07,5187.0,142
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108
Oby Sorrel,Usa,Spicy Special Slims,2022-02-07,5691.0,417
Karlen Mccaffrey,New Zealand,Fruit & Nut Bars,2022-02-07,1218.0,135
Kaine Padly,Australia,70% Dark Bites,2022-02-08,6706.0,223
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158
Marney O'Breen,Canada,Milk Bars,2022-02-08,2436.0,309
Roddy Speechley,Canada,Orange Choco,2022-02-09,8148.0,85
Beverie Moffet,Uk,50% Dark Bites,2022-02-09,2499.0,271
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186
Husein Augar,India,Eclairs,2022-02-09,4956.0,58
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,5845.0,91
Gigi Bohling,Canada,Milk Bars,2022-02-10,3052.0,116
Barr Faughny,Australia,85% Dark Bars,2022-02-10,8498.0,44
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109
Jan Morforth,New Zealand,Orange Choco,2022-02-11,1225.0,84
Andria Kimpton,Uk,Milk Bars,2022-02-11,14336.0,293
Madelene Upcott,India,Choco Coated Almonds,2022-02-11,3500.0,145
Roddy Speechley,Usa,50% Dark Bites,2022-02-11,10458.0,316
Ches Bonnell,Usa,White Choc,2022-02-11,5271.0,341
Camilla Castle,Usa,Spicy Special Slims,2022-02-11,1274.0,244
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283.0,21
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18
Van Tuxwell,Usa,Caramel Stuffed Bars,2022-02-14,987.0,21
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42
Andria Kimpton,Canada,White Choc,2022-02-14,4067.0,29
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47
Jan Morforth,Canada,70% Dark Bites,2022-02-14,5894.0,305
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18
Andria Kimpton,New Zealand,Mint Chip Choco,2022-02-15,8848.0,211
Karlen Mccaffrey,Usa,Mint Chip Choco,2022-02-15,15652.0,53
Oby Sorrel,Australia,Almond Choco,2022-02-15,6034.0,223
Madelene Upcott,Uk,70% Dark Bites,2022-02-16,5397.0,239
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73
Kaine Padly,Usa,Peanut Butter Cubes,2022-02-16,6790.0,188
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96
Gunar Cockshoot,Uk,Spicy Special Slims,2022-02-16,12488.0,200
Rafaelita Blaksland,Uk,50% Dark Bites,2022-02-16,10150.0,68
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236
Kelci Walkden,Usa,Manuka Honey Choco,2022-02-16,17318.0,87
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256
Oby Sorrel,New Zealand,Organic Choco Syrup,2022-02-17,15316.0,270
Kelci Walkden,Usa,Fruit & Nut Bars,2022-02-17,4816.0,145
Madelene Upcott,Canada,85% Dark Bars,2022-02-17,7504.0,101
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54
Oby Sorrel,Australia,Raspberry Choco,2022-02-17,1043.0,120
Beverie Moffet,Uk,Spicy Special Slims,2022-02-17,8680.0,252
Gunar Cockshoot,Usa,Spicy Special Slims,2022-02-17,1267.0,157
Brien Boise,Canada,85% Dark Bars,2022-02-17,10241.0,259
Jan Morforth,Australia,Drinking Coco,2022-02-18,2821.0,24
Kaine Padly,Uk,50% Dark Bites,2022-02-21,3143.0,67
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12
Mallorie Waber,Uk,50% Dark Bites,2022-02-21,5502.0,99
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396
Husein Augar,Usa,99% Dark & Pure,2022-02-21,9534.0,111
Dotty Strutley,Usa,Mint Chip Choco,2022-02-21,5292.0,248
Barr Faughny,New Zealand,Mint Chip Choco,2022-02-21,6440.0,145
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660.0,92
Roddy Speechley,Usa,Drinking Coco,2022-02-21,3003.0,155
Jan Morforth,Australia,Mint Chip Choco,2022-02-22,17626.0,103
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159
Curtice Advani,Canada,Organic Choco Syrup,2022-02-22,791.0,22
Madelene Upcott,New Zealand,70% Dark Bites,2022-02-22,13356.0,93
Kaine Padly,Australia,Almond Choco,2022-02-22,4102.0,392
Brien Boise,India,Milk Bars,2022-02-22,13503.0,251
Roddy Speechley,New Zealand,Baker'S Choco Chips,2022-02-22,5313.0,215
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372.0,614
Beverie Moffet,New Zealand,Peanut Butter Cubes,2022-02-23,10822.0,30
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142
Dotty Strutley,Usa,Orange Choco,2022-02-23,1379.0,107
Beverie Moffet,India,Choco Coated Almonds,2022-02-24,3577.0,261
Jehu Rudeforth,India,Eclairs,2022-02-24,8771.0,127
Barr Faughny,New Zealand,Manuka Honey Choco,2022-02-24,5474.0,239
Kelci Walkden,Australia,Milk Bars,2022-02-24,7910.0,125
Van Tuxwell,Canada,Manuka Honey Choco,2022-02-24,8617.0,46
Jehu Rudeforth,Uk,Peanut Butter Cubes,2022-02-24,13685.0,184
Marney O'Breen,Usa,Almond Choco,2022-02-25,7798.0,167
Brien Boise,India,Caramel Stuffed Bars,2022-02-25,1540.0,100
Jehu Rudeforth,India,99% Dark & Pure,2022-02-25,1953.0,242
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171.0,246
Roddy Speechley,Usa,Peanut Butter Cubes,2022-02-25,1736.0,137
Jehu Rudeforth,Australia,99% Dark & Pure,2022-02-25,10486.0,198
Beverie Moffet,Canada,Smooth Sliky Salty,2022-02-28,14287.0,370
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115
Wilone O'Kielt,Usa,Orange Choco,2022-02-28,7042.0,37
Van Tuxwell,New Zealand,Eclairs,2022-03-01,5229.0,182
Curtice Advani,Uk,Peanut Butter Cubes,2022-03-01,15008.0,165
Karlen Mccaffrey,New Zealand,Mint Chip Choco,2022-03-02,4326.0,61
Kelci Walkden,Australia,After Nines,2022-03-02,6916.0,288
Husein Augar,Uk,Choco Coated Almonds,2022-03-02,4333.0,43
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,3374.0,202
Barr Faughny,Uk,Milk Bars,2022-03-02,3864.0,430
Gunar Cockshoot,India,Smooth Sliky Salty,2022-03-02,3752.0,70
Gigi Bohling,Usa,Choco Coated Almonds,2022-03-02,12313.0,103
Mallorie Waber,India,Raspberry Choco,2022-03-02,1400.0,2
Ches Bonnell,Australia,White Choc,2022-03-02,1043.0,202
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446.0,116
Gunar Cockshoot,Australia,50% Dark Bites,2022-03-02,12271.0,116
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142
Rafaelita Blaksland,India,After Nines,2022-03-02,4739.0,204
Jan Morforth,New Zealand,Organic Choco Syrup,2022-03-02,1799.0,207
Karlen Mccaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304
Husein Augar,Usa,Milk Bars,2022-03-02,854.0,56
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96
Mallorie Waber,Canada,White Choc,2022-03-03,3381.0,72
Camilla Castle,Australia,Smooth Sliky Salty,2022-03-03,7406.0,118
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264
Madelene Upcott,Uk,Smooth Sliky Salty,2022-03-04,14539.0,84
Brien Boise,Uk,Caramel Stuffed Bars,2022-03-04,2681.0,149
Beverie Moffet,Uk,Choco Coated Almonds,2022-03-04,3010.0,69
Andria Kimpton,New Zealand,Organic Choco Syrup,2022-03-04,4935.0,39
Jan Morforth,Australia,70% Dark Bites,2022-03-04,5222.0,384
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-03-04,889.0,273
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101
Oby Sorrel,Usa,Smooth Sliky Salty,2022-03-04,3577.0,158
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687.0,100
Jehu Rudeforth,Usa,Raspberry Choco,2022-03-04,7154.0,133
Mallorie Waber,India,Drinking Coco,2022-03-07,3948.0,142
Dennison Crosswaite,Uk,Milk Bars,2022-03-07,10808.0,407
Kelci Walkden,Usa,White Choc,2022-03-07,9422.0,22
Mallorie Waber,Canada,Manuka Honey Choco,2022-03-07,1435.0,112
Gunar Cockshoot,Uk,99% Dark & Pure,2022-03-07,7.0,84
Mallorie Waber,Australia,Orange Choco,2022-03-07,14658.0,275
Roddy Speechley,Canada,Smooth Sliky Salty,2022-03-07,9338.0,11
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408
Roddy Speechley,Canada,Eclairs,2022-03-08,6237.0,88
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,16569.0,99
Curtice Advani,Uk,50% Dark Bites,2022-03-08,3374.0,142
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156
Gunar Cockshoot,Usa,Fruit & Nut Bars,2022-03-09,5852.0,93
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,1141.0,205
Kelci Walkden,New Zealand,Drinking Coco,2022-03-10,15855.0,111
Barr Faughny,Usa,Orange Choco,2022-03-10,3703.0,11
Kaine Padly,Usa,Organic Choco Syrup,2022-03-11,2380.0,22
Jan Morforth,Uk,Baker'S Choco Chips,2022-03-11,721.0,251
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22
Kelci Walkden,New Zealand,Smooth Sliky Salty,2022-03-11,10633.0,277
Oby Sorrel,Usa,Drinking Coco,2022-03-11,7714.0,44
Beverie Moffet,Usa,White Choc,2022-03-11,5292.0,134
Jehu Rudeforth,New Zealand,85% Dark Bars,2022-03-11,6972.0,89
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413.0,4
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241
Wilone O'Kielt,New Zealand,Eclairs,2022-03-11,3311.0,22
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68
Jan Morforth,India,After Nines,2022-03-14,6496.0,168
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31
Husein Augar,Uk,Drinking Coco,2022-03-14,3003.0,113
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337.0,12
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161.0,92
Dennison Crosswaite,Canada,Eclairs,2022-03-15,455.0,45
Van Tuxwell,India,White Choc,2022-03-15,1897.0,44
Madelene Upcott,Usa,After Nines,2022-03-15,4571.0,430
Dennison Crosswaite,Usa,70% Dark Bites,2022-03-15,658.0,77
Curtice Advani,Usa,Raspberry Choco,2022-03-15,2996.0,139
Wilone O'Kielt,New Zealand,Almond Choco,2022-03-15,9198.0,144
Dennison Crosswaite,New Zealand,Orange Choco,2022-03-16,4571.0,140
Van Tuxwell,Uk,Raspberry Choco,2022-03-16,6538.0,79
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125
Oby Sorrel,Uk,70% Dark Bites,2022-03-16,6223.0,181
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,9870.0,121
Camilla Castle,Australia,Manuka Honey Choco,2022-03-17,637.0,169
Kelci Walkden,Canada,Smooth Sliky Salty,2022-03-17,8099.0,118
Van Tuxwell,Canada,Raspberry Choco,2022-03-17,1267.0,130
Gunar Cockshoot,Australia,Raspberry Choco,2022-03-17,602.0,72
Dennison Crosswaite,Canada,Smooth Sliky Salty,2022-03-17,1750.0,479
Oby Sorrel,Uk,Choco Coated Almonds,2022-03-17,9324.0,41
Mallorie Waber,Australia,Choco Coated Almonds,2022-03-18,15750.0,92
Jehu Rudeforth,Australia,Milk Bars,2022-03-18,8659.0,29
Madelene Upcott,Usa,Eclairs,2022-03-18,8883.0,200
Gunar Cockshoot,India,Baker'S Choco Chips,2022-03-18,2191.0,524
Dennison Crosswaite,India,Orange Choco,2022-03-18,784.0,129
Camilla Castle,Usa,Manuka Honey Choco,2022-03-21,16401.0,179
Ches Bonnell,Canada,Baker'S Choco Chips,2022-03-21,7462.0,371
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,1939.0,98
Van Tuxwell,Canada,White Choc,2022-03-22,420.0,3
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,3010.0,40
Gunar Cockshoot,Uk,Smooth Sliky Salty,2022-03-22,749.0,148
Van Tuxwell,New Zealand,Baker'S Choco Chips,2022-03-22,9660.0,24
Mallorie Waber,Usa,Eclairs,2022-03-22,6328.0,51
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547
Kelci Walkden,Usa,50% Dark Bites,2022-03-23,6188.0,223
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26
Mallorie Waber,Canada,Orange Choco,2022-03-23,3577.0,178
Dennison Crosswaite,India,Mint Chip Choco,2022-03-23,13573.0,138
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7
Dennison Crosswaite,Uk,Eclairs,2022-03-24,6188.0,270
Gunar Cockshoot,Canada,Fruit & Nut Bars,2022-03-24,13888.0,203
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,7231.0,38
Roddy Speechley,Uk,70% Dark Bites,2022-03-24,1421.0,284
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73
Beverie Moffet,Usa,Smooth Sliky Salty,2022-03-24,2317.0,352
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70
Van Tuxwell,Uk,Baker'S Choco Chips,2022-03-24,2443.0,20
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460.0,286
Curtice Advani,Australia,Eclairs,2022-03-25,5796.0,55
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84
